"V1","V2"
"Alabama",97.9166666666667
"Alaska",10.4166666666667
"Arizona",0
"Arkansas",33.3333333333333
"California",66.6666666666667
"Colorado",20.8333333333333
"Connecticut",35.4166666666667
"Delaware",58.3333333333333
"Florida",79.1666666666667
"Georgia",68.75
"Idaho",22.9166666666667
"Illinois",77.0833333333333
"Indiana",45.8333333333333
"Iowa",39.5833333333333
"Kansas",18.75
"Kentucky",43.75
"Louisiana",70.8333333333333
"Maine",16.6666666666667
"Maryland",41.6666666666667
"Massachusetts",81.25
"Michigan",2.08333333333333
"Minnesota",52.0833333333333
"Mississippi",14.5833333333333
"Missouri",75
"Montana",100
"Nebraska",6.25
"Nevada",12.5
"New Hampshire",87.5
"New Jersey",72.9166666666667
"New Mexico",37.5
"New York",91.6666666666667
"North Carolina",4.16666666666667
"North Dakota",83.3333333333333
"Ohio",8.33333333333333
"Oklahoma",47.9166666666667
"Oregon",62.5
"Pennsylvania",56.25
"Rhode Island",60.4166666666667
"South Carolina",50
"South Dakota",89.5833333333333
"Tennessee",85.4166666666667
"Texas",64.5833333333333
"Utah",31.25
"Vermont",29.1666666666667
"Virginia",93.75
"Washington",25
"West Virginia",27.0833333333333
"Wisconsin",95.8333333333333
"Wyoming",54.1666666666667
