"user_id","created_at","screen_name","text","source","favorite_count","state","happiness"
"x1072998025935630336",2018-12-17 18:11:41,"jr_tiberius","@AnteMcdowell @b_schillace7 Boy looks like he couldn’t throw a napkin in the trash can, much less a pass for yardage 😂 LMAO","Twitter for iPhone",1,"Alabama",0.0521286035142687
"x80681663",2018-12-17 18:11:40,"Reversou1","@ghall55 @SportsCenter Cause they're a way better team","Twitter for Android",1,"Alabama",0.282842712474619
"x17823585",2018-12-17 18:11:40,"loganlowery","Bulldogs up one spot to No. 17 https://t.co/tffDLA9pjl","Twitter for iPhone",1,"Alabama",0
"x343927098",2018-12-17 18:11:40,"_aytay_","there’s so many people i just need to let go and move on from but i have such a big heart and it truly sucks at times like these https://t.co/4MkvAy8ptH","Twitter for iPhone",1,"Alabama",0.128886023846099
"x331171825",2018-12-17 18:11:40,"Chloe_Mina","I have a lot of reckoning with myself to do.","Twitter for iPhone",1,"Alabama",0
"x31211856",2018-12-17 18:11:39,"MANATICO","What a great read. Sounds pretty darn presidential to me.  (Whispering in your ear: I think hes gonna run). Oh i hope he does!!  🤞🤞🤞 @JoeBiden #2020election #runjoe #POTUS #politics #BidenBeto2020 ?? #BidenORourke2020 ?? 
https://t.co/KXc8dpPGtS","Twitter for iPhone",1,"Alabama",0.182679659624124
"x264002420",2018-12-17 18:11:39,"Diorrican","S.o on my phone talking bout hoes when we need to be talking money I’m finna hang up 😭","Twitter for iPhone",1,"Alabama",-0.0559016994374947
"x324686566",2018-12-17 18:11:39,"_GeniusIdiot","Kodak got Drake to acknowledge his artistry on this album. this his project to date by far.","Twitter for iPhone",1,"Alabama",0
"x912201365052547072",2018-12-17 18:11:38,"Jetsetter801","@miss_aponte What other type of cat fight would you mean? 🤔 Very curious actually","Twitter for iPhone",1,"Alabama",-0.0182874115250574
"x955697242303795200",2018-12-17 18:11:37,"MFMarvecoooool","I’m just ready to get this work day over with, next 3 days off 🙏🏾","Twitter for iPhone",1,"Alabama",0.280624304008046
"x3181122950",2018-12-17 18:11:37,"corbingrif","Broad is the path that leads to destruction.  Narrow is the path that leads to heaven.  Wake up Christians. We gotta stop being so watered down and luke warm.  We gotta be bold in our beliefs and stand firm in the word.","Twitter for iPhone",1,"Alabama",0.0176413768652392
"x467600668",2018-12-17 18:11:37,"raedgrant","I wish I were as thin as my patience","Twitter for iPhone",1,"Alabama",-0.5
"x860161939372212224",2018-12-17 18:11:36,"lovelysavage20","@oba_007 @Iam_olusegun77 It’s Not My Work . I Got It From Instagram","Twitter for iPhone",1,"Alabama",-0.0482323130291217
"x398277133",2018-12-17 18:11:36,"GATrumpTrain","3 years ago, at least. https://t.co/kgmb5yyxcb","Twitter for Android",1,"Alabama",0
"x46538513",2018-12-17 18:11:36,"TaeDaTail","@TennStateQues Date","Twitter for iPhone",1,"Alabama",0
"x916725645392179200",2018-12-17 18:11:36,"whoisdjhaze","DJS ONLY LISTENING PARTY
RSVP:
https://t.co/5mR7zlMjWc
Copy and paste the link above
-
YOUNG SCOOTER
Private Listening… https://t.co/W5CBWCa92g","Instagram",1,"Alabama",0.0784464540552736
"x1695337148",2018-12-17 18:11:36,"julia_doughty","@SpaceyG @IOPCity @windjammeriop @Boeing Oh no! We loved that place. 😔","Twitter for iPhone",2,"Alabama",0.122061546837862
"x1695337148",2018-12-17 18:11:36,"julia_doughty","@SpaceyG @IOPCity @windjammeriop @Boeing Oh no! We loved that place. 😔","Twitter for iPhone",2,"Alabama",0.122061546837862
"x594354914",2018-12-17 18:11:41,"_rlv44","@the_real_twin_ @cokezaddyy They there","Twitter for iPhone",1,"Alaska",0.183711730708738
"x741426446",2018-12-17 18:11:41,"Rob_Motto","@xavierdoaln It’s a character. It’s fictional.","Twitter for iPhone",1,"Alaska",-0.0787630373570273
"x15682552",2018-12-17 18:11:41,"StephenHui","Feeling Anxious And Powerless About #Climate Change? It’s Called #Solastalgia: https://t.co/knK3GsCxfq @HuffPostCanada @CdnPress #neologism","Twitter Lite",1,"Alaska",-0.309375069131325
"x812942176388689920",2018-12-17 18:11:41,"ScottyStyles29","I respect your opinion but this will build two things.
1.) MMA Horsewomen vs WWE Horsewomen
2.) Becky wins the Rumble and Becky vs Ronda main events mania with Becky going over and exacting revenge. https://t.co/auozAxL8yP","Twitter for iPhone",1,"Alaska",0.018367828888012
"x849965989",2018-12-17 18:11:41,"NoorAlHaqiqa","Are you mesmerized by this? Amazing how there is always harmony in nature. 🤣🇨🇦👍🎄🇨🇦👍🎄 https://t.co/jaqWlBdO6P","Twitter Web Client",1,"Alaska",0.164288726379777
"x373033271",2018-12-17 18:11:41,"Wil_Johnson1","Two-Level Justice System: Low-Level Businessmen Charged with Illegal Foreign Lobbying But Clinton Crime Syndicate Walk Free https://t.co/URhGe8XI48 via @gatewaypundit","Twitter Web Client",1,"Alaska",0.16733
"x301818688",2018-12-17 18:11:41,"MikeOf206","@prenticehill @KaitMarieox @The_PCPolice Your wife told you? 😳","Twitter for iPhone",1,"Alaska",0
"x1018857876",2018-12-17 18:11:40,"r2desu","Is me being 6’3” a personality trait?","Twitter for iPhone",1,"Alaska",0
"x1033635508562227200",2018-12-17 18:11:40,"w00falot","@JPSWITCHMANIA @Hitcents Right now, super smash bros :)","Twitter for iPhone",1,"Alaska",0.302371578407382
"x421626641",2018-12-17 18:11:40,"shaqpipelegs","Once I discover my own style of painting I am definitely going to be a weirdo that only paints dogs and sells my work at local craft fairs. Just painting after painting of dogs","Twitter Web Client",1,"Alaska",-0.0257812557609437
"x702686882669289472",2018-12-17 18:11:40,"kirk_robe","@bryanbehar @exoticgamora It’s crazy time","Twitter for iPhone",1,"Alaska",-0.306186217847897
"x92550610",2018-12-17 18:11:40,"leana_campbell","Play-Doh Kitchen Creations Ultimate Swirl Ice Cream Maker is a great gift idea! Do you have a childhood Play-Doh memory? Share it at Feisty Frugal + Fabulous and you'll be in to win! https://t.co/t8atDGtJhK #FFFHolidayGiftGuide #PlayDoh","Twitter Web Client",1,"Alaska",0.332219635617799
"x294878528",2018-12-17 18:11:40,"FarthestShore","@harry_fosters Gorgeous sunset in a stunning location.  You and your wife must feel blessed to live in such a truly lovely spot.","Twitter Web Client",1,"Alaska",0.630420581751693
"x2883051639",2018-12-17 18:11:40,"AshandRobertsWA","Help us wish our awesome assistant Steph a wonderful birthday!! Happy Birthday Steph!!! 🎉 #dentist #dentalassistant #dentistry #dental #birthday # @ Ash &amp; Roberts DDS https://t.co/G8HvJslEGK","Instagram",1,"Alaska",0.644889774586187
"x940011105409101824",2018-12-17 18:11:39,"Prncssdmnd22204","When people follow me
“Who are you and what do you want from me”","Twitter for iPhone",1,"Alaska",0
"x1071922281893396480",2018-12-17 18:11:39,"QueenLightski12","Not many people know that I grew up hating myself. From living in a state where I wasn't fully accepted for being half white, to living in a city where I wasn't accepted for being black,… https://t.co/3TgFmbFjRE","Instagram",1,"Alaska",-0.241822987694977
"x148497957",2018-12-17 18:11:39,"franklez","The preacher tried to ban dancing at our local high school. But I had just got into town from California. And I couldn't stop the rhythm inside of me. So I taught those kids how to dance again - how to free their souls. I also badly barked my shin swinging on a warehouse chain. https://t.co/2ZEC7Q2Siq","Twitter for iPhone",2,"Alaska",0.0099901048792449
"x148497957",2018-12-17 18:11:39,"franklez","The preacher tried to ban dancing at our local high school. But I had just got into town from California. And I couldn't stop the rhythm inside of me. So I taught those kids how to dance again - how to free their souls. I also badly barked my shin swinging on a warehouse chain. https://t.co/2ZEC7Q2Siq","Twitter for iPhone",2,"Alaska",0.0099901048792449
"x2432894688",2018-12-17 18:11:39,"CanadaPotstocks","Vancouver has been crying wolf for years now, while Mayor and the VPD turn a blind eye, will they change?

Vancouver mayor warns illegal pot shops to legalize or 'move along' | CBC News https://t.co/HYvZmqB2zM","Twitter Web Client",1,"Alaska",-0.315019011059682
"x14749058",2018-12-17 18:11:38,"justwesley","RSVP' d for the gallery nucleus Critical Role opening!  PUMPED!  Super excited to meet some artists!","Twitter Web Client",1,"Alaska",0.145583225146453
"x2810325979",2018-12-17 18:11:38,"metcalf_maddie","A dream https://t.co/HqFmak1eqO","Twitter for iPhone",1,"Alaska",0.0944911182523068
"x301787929",2018-12-17 18:11:42,"_SierraMistt_","@britneykisamo @riplimewire His real name is jahseh that’s why lol they’re not calling him god","Twitter for iPhone",1,"Arizona",0
"x887569355512332288",2018-12-17 18:11:40,"Chrisro86188409","@KimPowellTV I was already a reporter, it’s not easy. It was so glaring I couldn’t help it. I blame the editors, it’s like walking in the dark woods with no direction. Only the sign gave location in the broadcast , other people said the same thing.","Twitter for iPhone",1,"Arizona",-0.209695031053778
